Open,Open,Open,Open,Open,Open
24.10,12.73,115.00,248.17,263.00,111.44
22.81,12.77,111.43,235.66,253.90,106.28
24.95,13.18,111.95,237.99,257.24,109.57
24.14,12.01,109.59,218.34,255.49,108.46
23.51,11.33,105.77,217.84,257.89,104.03
22.54,10.48,104.99,207.95,258.14,103.66
29.00,11.75,105.68,220.47,262.27,107.97
35.25,12.65,109.48,241.08,268.48,113.55
34.30,15.75,112.75,257.94,272.53,116.28
30.71,14.01,114.86,251.72,275.20,122.26
29.75,12.69,114.00,244.15,264.45,121.68
32.50,12.78,116.06,243.22,270.31,124.20
33.83,12.42,116.70,244.35,272.06,125.25
32.50,12.02,115.48,234.00,266.64,122.01
35.35,12.80,116.76,240.08,271.71,122.61
34.70,13.37,116.33,249.34,267.78,119.99
31.50,12.63,112.45,235.15,260.58,113.42
30.13,11.91,106.79,223.16,245.11,104.19
29.39,11.52,106.54,218.28,243.86,104.19
31.24,11.55,108.55,220.91,248.31,103.86
31.24,12.22,107.22,222.73,245.98,104.47
31.72,11.86,106.03,213.43,244.70,102.80
34.56,12.75,108.93,224.60,250.26,108.20
34.67,12.50,110.56,234.50,251.89,107.43
35.41,12.79,112.23,237.90,255.57,110.39
35.75,12.17,113.00,237.47,261.81,112.38
34.12,12.58,118.27,249.36,268.21,117.09
32.75,14.00,115.80,244.48,263.98,113.50
30.39,13.07,111.55,230.50,257.59,107.38
29.84,13.40,110.00,224.51,257.05,108.11
30.28,13.48,107.93,227.00,256.39,106.29
30.38,13.55,107.10,223.00,256.16,107.60
30.17,12.68,113.30,230.78,263.75,113.21
31.12,12.54,115.08,233.92,265.12,113.85
31.67,13.89,117.25,242.33,264.79,114.60
32.14,14.49,118.00,252.10,265.65,114.08
32.70,14.95,116.22,236.84,265.88,112.16
33.75,15.05,111.70,225.50,250.19,107.03
34.80,14.95,110.21,234.89,250.57,110.24
34.86,15.27,112.00,240.00,255.72,112.50
36.25,15.60,112.64,244.93,259.75,115.00
37.44,17.41,110.85,245.00,257.58,115.70
38.50,16.52,113.17,246.78,259.90,118.62
39.93,17.90,114.28,255.10,259.79,123.20
36.88,16.70,111.00,276.22,265.24,125.01
35.00,15.55,108.41,272.21,261.00,122.70
32.87,14.66,106.60,266.51,259.86,115.79
32.96,14.23,109.26,263.81,261.16,117.31
33.39,14.63,112.37,280.06,269.75,121.57
33.68,14.31,113.08,280.70,277.70,134.90
33.80,14.33,115.30,301.27,277.82,134.96
35.90,15.45,114.00,294.00,276.00,134.72
36.22,17.20,115.71,305.00,276.76,136.21
38.34,18.98,117.48,311.00,281.80,140.58
37.37,16.97,116.23,302.67,279.15,140.10
41.29,24.06,118.39,295.00,284.05,142.05
42.14,23.20,117.14,290.29,279.64,138.05
42.00,23.39,118.78,297.06,288.17,142.90
40.91,24.07,121.28,296.51,290.85,143.86
40.00,26.94,120.26,289.41,288.48,142.05
39.75,24.07,121.13,301.78,291.00,142.80
39.17,24.01,121.52,311.66,291.99,143.91
42.18,24.59,120.12,303.39,289.74,142.69
39.27,21.86,119.43,306.00,290.19,141.32
35.18,18.04,119.06,299.00,288.90,140.47
34.31,11.33,115.20,291.91,282.08,135.72
34.70,10.72,113.48,291.45,276.44,133.41
34.00,9.59,113.50,297.56,275.41,132.75
32.84,9.78,114.24,302.36,277.33,135.26
31.50,9.58,114.72,297.43,279.08,136.55
30.48,9.04,109.99,282.83,265.85,129.90
31.62,9.59,110.17,287.87,266.67,131.25
29.25,9.11,110.65,280.62,265.39,129.45
28.00,9.03,108.28,272.58,258.87,126.00
28.26,8.78,110.59,281.07,261.70,129.50
25.75,8.65,107.30,272.68,256.20,127.92
24.73,8.07,107.06,273.10,254.70,126.12
25.00,8.30,108.04,281.30,257.51,127.72
26.30,8.86,109.07,291.67,260.50,130.91
29.03,10.01,110.99,300.72,265.78,134.10
27.40,9.63,107.80,292.90,258.84,131.01
27.56,9.52,104.57,292.24,253.53,127.36
27.86,9.75,104.03,301.83,249.77,127.38
